title,Price,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats
SKODA Fabia,6900,70189,2016,3,Diesel,Hatchback,1.4L,Manual,5,5
Mercedes-Benz E Class,1889,88000,2003,,Petrol,Saloon,2.6L,Automatic,4,5
Toyota RAV4,3995,134800,2010,1,Diesel,SUV,2.2L,Manual,5,5
Nissan Qashqai+2,5490,102000,2013,3,Petrol,SUV,1.6L,Manual,5,7
Fiat 500,2495,95000,2008,,Petrol,Hatchback,1.2L,Manual,3,4
Audi A4,2295,121000,2004,8,Petrol,Saloon,1.8L,Automatic,4,5
Peugeot 308,3799,61000,2010,,Petrol,Hatchback,1.6L,Automatic,5,5
Hyundai i20,2950,66300,2010,3,Petrol,Hatchback,1.4L,Manual,5,5
Volkswagen Polo,6995,65000,2012,,Petrol,Hatchback,1.2L,Automatic,5,5
Renault Megane,3750,92000,2012,1,Petrol,Hatchback,2.0L,Manual,5,5
Suzuki Grand Vitara,5000,64000,2010,4,Petrol,SUV,2.4L,Manual,5,5
Vauxhall Corsa,1950,93000,2012,4,Petrol,Hatchback,1.2L,Manual,3,5
SKODA Fabia,6900,70189,2016,3,Diesel,Hatchback,1.4L,Manual,5,5
Peugeot 308 SW,9600,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5
Ford S-max,4495,97155,2012,1,Diesel,MPV,2.0L,Automatic,5,7
SEAT Ibiza,4399,91804,2015,2,Petrol,Estate,1.2L,Manual,5,5
Mercedes-Benz A Class,16990,18137,2019,,Petrol,Hatchback,1.3L,Automatic,5,5
Suzuki Swift,3940,75000,2014,1,Petrol,Hatchback,1.2L,Manual,3,4
Toyota Camry,2389,125000,1990,,Petrol,Estate,2.0L,Automatic,5,
MINI Hatch,3949,87000,2010,3,Petrol,Hatchback,1.6L,Manual,3,4
Lexus LS 430,3950,153000,2005,3,Petrol,Saloon,4.3L,Automatic,4,5
BMW 3 Series,2500,113000,2007,5,Petrol,Coupe,2.5L,Automatic,2,4
Ford Focus,3940,77241,2011,3,Petrol,Hatchback,1.6L,Manual,5,5
Peugeot 308,1800,52000,2009,4,Petrol,Hatchback,1.6L,Manual,5,5
Volkswagen Polo,2495,149000,2010,1,Diesel,Hatchback,1.2L,Manual,5,5
Peugeot 308 SW,9600,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5
Honda Civic,9198,78691,2018,,Diesel,Hatchback,1.6L,Manual,5,5
Volkswagen Polo,3495,100667,2011,,Petrol,Hatchback,1.2L,Manual,5,5
BMW 1 Series,4599,97000,2012,,Diesel,Hatchback,2.0L,Manual,5,5
Nissan Note,4595,82364,2014,2,Petrol,Hatchback,1.2L,Manual,5,5
Ford Focus,1575,127000,2007,3,Diesel,Hatchback,2.0L,Manual,3,5
Chevrolet Cruze,3990,93000,2012,,Petrol,Hatchback,1.8L,Automatic,5,5
Honda Civic,2490,101200,2008,2,Petrol,Hatchback,1.8L,Manual,3,5
Ford C-max,2389,115000,2007,,Petrol,MPV,2.0L,Automatic,5,5
Citroen C4 Cactus,4289,112000,2015,,Petrol,Hatchback,1.2L,Manual,5,5
Vauxhall Corsa,3300,94650,2014,,Petrol,Hatchback,1.4L,Manual,3,5
Vauxhall Corsa,1950,93000,2012,4,Petrol,Hatchback,1.2L,Manual,3,5
BMW 3 Series,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5
Vauxhall Corsa,10698,22782,2020,,Petrol,Hatchback,1.2L,Manual,5,5
BMW X3,4995,80750,2010,7,Diesel,SUV,2.0L,Automatic,5,5
SEAT Ibiza,2800,77000,2011,3,Petrol,Hatchback,1.4L,Manual,5,5
Renault Clio,7150,41000,2015,,Petrol,Hatchback,1.2L,Manual,5,5
Mercedes-Benz A Class,2199,69200,2012,5,Petrol,Hatchback,1.5L,Manual,5,5
Mercedes-Benz C Class,1995,89400,2006,2,Diesel,Saloon,2.1L,Automatic,4,5
Toyota Corolla Verso,1949,105000,2002,2,Petrol,MPV,1.8L,Manual,5,5
BMW 3 Series,5250,137000,2010,,Petrol,Coupe,3.0L,Automatic,2,4
Honda Accord,3495,103000,2008,2,Petrol,Saloon,2.4L,Automatic,4,5
Volkswagen Passat,2500,134503,2010,2,Diesel,Saloon,2.0L,Manual,4,5
Renault Clio,2395,66200,2011,4,Petrol,Hatchback,1.2L,Manual,3,5
Volkswagen Polo,3495,127000,2015,,Petrol,Hatchback,1.0L,Manual,3,5
Mercedes-Benz A Class,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5
Ford Focus,8975,86500,2017,,Diesel,Hatchback,1.5L,Manual,5,5
BMW 3 Series,2995,97000,2005,,Petrol,Saloon,2.5L,Automatic,4,5
Mercedes-Benz E Class,6580,110000,2014,5,Diesel,Convertible,2.1L,Automatic,2,4
Vauxhall Corsa,2950,34050,2006,,Petrol,Hatchback,1.2L,Manual,5,5
DS Automobiles DS 3,6950,53000,2018,,Petrol,Hatchback,1.2L,Manual,3,5
Volkswagen Polo,8150,66000,2016,,Petrol,Hatchback,1.0L,Manual,5,5
Volkswagen Polo,2000,112638,2008,2,Petrol,Hatchback,1.2L,Manual,5,5
Vauxhall Astra,2990,49000,2011,2,Petrol,Hatchback,1.6L,Manual,3,5
Honda Jazz,3995,69920,2007,,Petrol,Hatchback,1.4L,Automatic,5,5
Mitsubishi Outlander,3295,73328,2004,,Petrol,SUV,2.4L,Automatic,5,5
Nissan Qashqai+2,3950,118000,2010,3,Petrol,SUV,2.0L,Manual,5,7
Peugeot 207,999,111400,2007,2,Diesel,Hatchback,1.6L,Manual,5,5
Ford Focus,8975,86500,2017,,Diesel,Hatchback,1.5L,Manual,5,5
Peugeot 308,9149,55301,2016,,Diesel,Hatchback,1.6L,Manual,5,5
Ford Fiesta,3250,80653,2009,3,Petrol,Hatchback,1.6L,Manual,5,5
KIA Picanto,3990,26500,2009,3,Petrol,Hatchback,1.1L,Automatic,5,4
BMW 3 Series,9599,89890,2013,5,Petrol,Saloon,2.0L,Manual,4,5
MINI Hatch,2700,96166,2007,5,Petrol,Hatchback,1.6L,Manual,3,4
Ford Fiesta,1950,167574,2009,,Diesel,Hatchback,1.6L,Manual,5,5
Volvo S80,4495,72000,2006,3,Petrol,Saloon,2.5L,Automatic,4,5
BMW 5 Series,2000,125000,2006,5,Petrol,Saloon,2.5L,Manual,4,5
Audi A3,2495,103000,2004,,Petrol,Hatchback,1.6L,Automatic,5,5
Mitsubishi Colt,1495,115000,2007,4,Petrol,Hatchback,1.5L,Manual,3,5
Ford Focus,890,145000,2004,,Petrol,Hatchback,1.6L,Manual,5,5
Volkswagen Polo,2495,149000,2010,1,Diesel,Hatchback,1.2L,Manual,5,5
KIA Sportage,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5
SKODA Fabia,6900,70189,2016,3,Diesel,Hatchback,1.4L,Manual,5,5
BMW 3 Series,1999,137724,2006,,Petrol,Coupe,2.5L,Automatic,2,4
Fiat Punto,1490,32000,2004,3,Petrol,Hatchback,1.2L,Manual,3,5
BMW 7 Series,4450,93000,2004,,Petrol,Saloon,4.4L,Automatic,4,5
MINI Hatch,5000,59000,2012,2,Petrol,Hatchback,1.6L,Manual,3,4
Suzuki SX4 S-CROSS,10744,64600,2017,,Petrol,SUV,1.0L,Automatic,5,5
Mercedes-Benz E Class,6300,139000,2009,4,Petrol,Coupe,3.5L,Automatic,2,4
Ford Focus,12599,29000,2018,2,Petrol,Hatchback,1.0L,Manual,5,5
Volkswagen Tiguan,2889,100000,2008,,Diesel,SUV,2.0L,Automatic,5,5
Volkswagen Golf,2900,36000,2006,3,Petrol,Hatchback,1.6L,Manual,5,5
Volkswagen Passat,1895,173000,2007,,Diesel,Estate,2.0L,Automatic,5,5
Hyundai i30,1750,130000,2010,4,Petrol,Hatchback,1.4L,Manual,5,5
MINI Hatch,10000,46923,2017,3,Petrol,Hatchback,1.5L,Manual,3,4
Peugeot 308 SW,9600,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5
Daewoo Kalos,995,62807,2003,2,Petrol,Hatchback,1.2L,Manual,5,5
Vauxhall Insignia,2745,78000,2011,,Petrol,Hatchback,1.8L,Manual,5,5
Ford Fiesta,4480,34000,2010,2,Diesel,Hatchback,1.6L,Manual,5,5
Audi A4,2449,57000,2004,,Petrol,Saloon,2.0L,Automatic,4,5
Peugeot 107,3295,77106,2013,1,Petrol,Hatchback,1.0L,Manual,3,4
Honda Jazz,2450,93000,2010,4,Petrol,Hatchback,1.4L,Manual,5,5
Citroen Grand C4 Picasso,2999,130000,2012,,Diesel,MPV,1.6L,Automatic,5,7
Mazda Mazda2,7499,41200,2016,,Petrol,Hatchback,1.5L,Manual,5,5
Volkswagen EOS,4390,102000,2011,1,Petrol,Convertible,1.4L,Manual,2,4
Mercedes-Benz B Class,6499,83000,2013,3,Diesel,MPV,1.5L,Manual,5,5
SEAT Ibiza,2799,99061,2011,,Petrol,Hatchback,1.2L,Manual,3,5
Peugeot 308,9149,55301,2016,,Diesel,Hatchback,1.6L,Manual,5,5
Mercedes-Benz A Class,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5
Suzuki Alto,2000,76833,2011,3,Petrol,Hatchback,1.0L,Manual,5,4
KIA RIO,3800,92000,2013,3,Petrol,Hatchback,1.3L,Manual,3,5
Fiat Grande Punto,1499,49970,2009,2,Diesel,Hatchback,1.3L,Manual,3,5
BMW 1 Series,3890,94300,2010,,Petrol,Hatchback,2.0L,Manual,5,5
Volkswagen Polo,6700,49600,2012,,Petrol,Hatchback,1.2L,Automatic,,
Nissan Qashqai,3950,112000,2009,,Petrol,Hatchback,2.0L,Automatic,5,5
Mercedes-Benz C Class,5999,79700,2012,3,Diesel,Saloon,2.1L,Manual,4,5
Vauxhall Astra,6495,63495,2016,4,Petrol,Hatchback,1.0L,Manual,5,5
BMW 3 Series,1999,138000,2003,6,Petrol,Estate,2.2L,Automatic,5,5
Chevrolet Aveo,2845,89181,2013,,Petrol,Hatchback,1.4L,Manual,5,5
MINI Hatch,2995,74700,2003,4,Petrol,Hatchback,1.6L,Automatic,3,4
Chevrolet Captiva,4500,97153,2013,4,Diesel,SUV,2.2L,Automatic,5,7
Dodge Nitro,3250,125000,2008,,Petrol,SUV,3.7L,Automatic,5,5
Vauxhall Corsa,3499,56285,2015,1,Petrol,Hatchback,1.4L,Manual,5,5
BMW X5,4800,84500,2006,3,Diesel,SUV,3.0L,Automatic,5,5
Ford Focus,4499,108000,2013,,Petrol,Estate,1.6L,Automatic,5,5
Toyota Mark X,7500,77000,2021,3,Petrol,Saloon,,Automatic,,
Nissan Juke,3699,120300,2014,3,Diesel,SUV,1.5L,Manual,5,5
Mazda Mazda6,2500,153000,2006,3,Petrol,Hatchback,2.0L,Automatic,5,5
Volkswagen Polo,2495,149000,2010,1,Diesel,Hatchback,1.2L,Manual,5,5
Peugeot 308,9149,55301,2016,,Diesel,Hatchback,1.6L,Manual,5,5
Peugeot 308 SW,9600,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5
Honda Cr-v,2775,115961,2007,,Diesel,SUV,2.2L,Manual,5,5
Ford KA,1499,52000,2008,,Petrol,Hatchback,1.3L,Manual,3,5
Volkswagen Scirocco,5950,87000,2008,1,Petrol,Hatchback,2.0L,Automatic,3,4
SEAT Ibiza,3295,84131,2012,4,Petrol,Hatchback,1.4L,Manual,5,5
Toyota Auris,4490,125998,2015,,Petrol,Estate,1.3L,Manual,5,5
Nissan Note,6289,74527,2014,,Petrol,Hatchback,1.2L,Automatic,5,5
Vauxhall Mokka,5950,56250,2016,1,Diesel,SUV,1.6L,Manual,5,5
Volkswagen Polo,5500,71000,2010,5,Petrol,Hatchback,1.4L,Automatic,5,5
MINI Hatch,7999,45000,2015,,Petrol,Hatchback,1.2L,Manual,3,4
Peugeot 307,2490,38563,2007,2,Petrol,Hatchback,1.4L,Manual,5,5
Ford Focus,798,140599,2008,,Petrol,Hatchback,1.6L,Manual,5,5
Vauxhall Corsa,10698,22782,2020,,Petrol,Hatchback,1.2L,Manual,5,5
BMW 3 Series,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5
Vauxhall Astra GTC,4995,91000,2014,,Petrol,Coupe,1.6L,Manual,3,5
BMW 1 Series,9200,48650,2015,4,Petrol,Hatchback,1.5L,Manual,3,5
Nissan Cubic,4500,47000,2007,3,Petrol,Hatchback,,Manual,,
KIA Picanto,4490,12500,2012,1,Petrol,Hatchback,1.0L,Manual,3,5
Hyundai i20,5999,27500,2014,,Petrol,Hatchback,1.2L,Manual,5,5
BMW 1 Series,2599,83800,2006,1,Petrol,Hatchback,1.6L,Manual,5,5
Ford Fiesta,1950,170000,2010,3,Diesel,Hatchback,1.6L,Manual,5,5
Toyota Corolla,1499,109000,2003,6,Petrol,Hatchback,1.4L,Manual,5,5
KIA Soul,2800,80000,2009,2,Petrol,SUV,1.6L,Manual,5,5
Ford Focus,3750,61000,2010,3,Diesel,Hatchback,2.0L,Automatic,5,5
Hyundai i30,1750,130000,2010,4,Petrol,Hatchback,1.4L,Manual,5,5
BMW 3 Series,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5
KIA Sportage,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5
Vauxhall Corsa,4940,58998,2015,1,Petrol,Hatchback,1.4L,Manual,5,5
Ford Focus,7250,57000,2014,3,Petrol,Hatchback,1.6L,Automatic,5,5
BMW X1,3290,152000,2011,4,Diesel,SUV,2.0L,Automatic,5,5
Renault Clio,3275,55000,2013,4,Petrol,Hatchback,1.2L,Manual,5,5
MINI Hatch,2495,92200,2008,2,Petrol,Hatchback,1.6L,Manual,3,4
BMW 3 Series,4495,185000,2012,5,Diesel,Saloon,2.0L,Manual,4,5
Nissan Pathfinder,3000,135607,2006,5,Diesel,SUV,2.5L,Automatic,5,7
Nissan Note,5500,97000,2014,2,Petrol,Hatchback,1.2L,Automatic,5,5
Nissan Juke,4225,108600,2013,1,Petrol,SUV,1.6L,Manual,5,5
BMW 1 Series,6995,58264,2013,4,Petrol,Hatchback,1.6L,Manual,5,5
Vauxhall Insignia,2950,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5,5
KIA Sportage,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5
Mercedes-Benz A Class,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5
Ford Fiesta,2999,95000,2010,4,Petrol,Hatchback,1.4L,Manual,5,5
Vauxhall Astra GTC,4250,77700,2014,4,Petrol,Coupe,1.4L,Manual,3,5
Vauxhall Corsa,1890,29809,2003,3,Petrol,Hatchback,1.2L,Manual,3,5
Fiat 500,3989,62000,2010,,Petrol,Hatchback,1.2L,Manual,3,4
BMW 3 Series,3995,87000,2005,5,Petrol,Coupe,2.0L,Manual,2,5
BMW 1 Series,3900,105950,2012,2,Diesel,Hatchback,2.0L,Manual,5,5
Renault Megane,2495,51200,2008,,Petrol,Saloon,1.6L,Automatic,4,5
Volkswagen Golf Plus,2490,90960,2008,4,Diesel,Hatchback,1.9L,Manual,5,5
Honda Civic,2250,107000,2006,6,Petrol,Hatchback,1.8L,Manual,5,5
Vauxhall Corsa,2395,61805,2009,3,Petrol,Hatchback,1.2L,Manual,5,5
Peugeot 207,1299,87000,2008,5,Diesel,Hatchback,1.6L,Manual,5,5
Mercedes-Benz A Class,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5
Vauxhall Corsa,10698,22782,2020,,Petrol,Hatchback,1.2L,Manual,5,5
Volkswagen Polo,2975,42500,2002,2,Petrol,Hatchback,1.4L,Automatic,5,5
Citroen C1,1750,95811,2011,3,Petrol,Hatchback,1.0L,Manual,3,4
Ford KA,1595,40000,2007,6,Petrol,Hatchback,1.3L,Manual,3,5
Citroen C4 Cactus,6399,92000,2016,2,Petrol,Hatchback,1.2L,Manual,5,5
Citroen C4,2295,70000,2007,,Petrol,Hatchback,1.6L,Automatic,5,5
SEAT Ibiza,2799,99061,2011,,Petrol,Hatchback,1.2L,Manual,3,5
Honda Civic,9198,78691,2018,,Diesel,Hatchback,1.6L,Manual,5,5
Vauxhall Corsa,10698,22782,2020,,Petrol,Hatchback,1.2L,Manual,5,5
Mazda CX-5,4900,127900,2014,3,Diesel,SUV,2.2L,Automatic,5,5
Chevrolet Cruze,3495,108000,2011,,Petrol,Hatchback,1.6L,Automatic,5,5
Volkswagen Polo,4990,76649,2010,,Petrol,Hatchback,1.2L,Manual,3,5
MINI Hatch,5995,94000,2015,,Petrol,Hatchback,1.5L,Manual,3,4
MINI Convertible,2449,79000,2008,,Petrol,Convertible,1.6L,Manual,2,4
Mercedes-Benz A Class,5200,120000,2015,3,Diesel,Hatchback,2.1L,Manual,5,5
Toyota Corolla,13990,42817,2019,1,Petrol Hybrid,Hatchback,1.8L,Automatic,5,5
MINI Hatch,9495,61385,2018,1,Petrol,Hatchback,1.5L,Manual,3,4
Toyota RAV4,8990,49000,2011,1,Diesel,SUV,2.2L,Automatic,5,5
Hyundai i20,7795,51082,2017,3,Petrol,Hatchback,1.2L,Manual,5,5
Vauxhall Insignia,2950,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5,5
Vauxhall Corsa,10698,22782,2020,,Petrol,Hatchback,1.2L,Manual,5,5
Vauxhall Corsa,10698,22782,2020,,Petrol,Hatchback,1.2L,Manual,5,5
Vauxhall Meriva,3100,61000,2011,2,Petrol,MPV,1.4L,Manual,5,5
Vauxhall Corsa,6199,30000,2014,1,Petrol,Hatchback,1.2L,Manual,3,5
Vauxhall Insignia,3990,138717,2016,3,Diesel,Hatchback,1.6L,Automatic,5,5
Honda Civic,5490,52500,2009,,Petrol,Hatchback,1.8L,Automatic,5,5
Mercedes-Benz C Class,8990,80429,2012,5,Petrol,Coupe,1.6L,Automatic,2,4
Chrysler 300C,3495,109000,2006,,Petrol,Saloon,3.5L,Automatic,4,5
Honda Freed,6700,80000,2012,1,Petrol Hybrid,MPV,1.5L,Automatic,5,6
Ford Focus,2495,60000,2007,2,Petrol,Hatchback,1.6L,Manual,5,5
Renault Megane,2499,75000,2010,,Petrol,Hatchback,1.6L,Manual,5,5
Mercedes-Benz C Class,3800,115000,2007,,Petrol,Saloon,2.5L,Automatic,4,5
Peugeot 207,1299,87000,2008,5,Diesel,Hatchback,1.6L,Manual,5,5
BMW 3 Series,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5
KIA Sportage,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5
Ford Fiesta,1389,117000,2005,,Diesel,Hatchback,1.4L,Manual,5,5
Volkswagen Golf,1895,136331,2005,4,Petrol,Hatchback,1.6L,Manual,5,5
Mercedes-Benz B Class,2275,125200,2006,5,Petrol,MPV,1.7L,Automatic,5,5
Honda Legend,3000,94000,2001,2,Petrol,Saloon,3.5L,Automatic,4,5
BMW 3 Series,6700,105000,1999,7,Petrol,Coupe,2.5L,Manual,2,
Volkswagen Golf Plus,3799,81000,2010,2,Petrol,Hatchback,1.4L,Manual,5,5
Vauxhall Corsa,5995,64992,2015,,Petrol,Hatchback,1.4L,Manual,3,5
Dacia Sandero,3400,62000,2016,3,Petrol,Hatchback,1.2L,Manual,5,5
Ford Fiesta,3499,81000,2011,5,Petrol,Hatchback,1.3L,Manual,5,5
Volkswagen Golf,2750,150662,2009,1,Petrol,Hatchback,1.4L,Manual,5,5
Volkswagen Polo,2495,149000,2010,1,Diesel,Hatchback,1.2L,Manual,5,5
SKODA Fabia,6900,70189,2016,3,Diesel,Hatchback,1.4L,Manual,5,5
SKODA Fabia,6900,70189,2016,3,Diesel,Hatchback,1.4L,Manual,5,5
Vauxhall Corsa,2240,55000,2014,4,Petrol,Hatchback,1.2L,Manual,3,5
Vauxhall Zafira,1950,116700,2010,4,Petrol,MPV,1.6L,Manual,5,7
Mercedes-Benz E Class,4000,95257,2011,3,Diesel,Saloon,2.1L,Automatic,4,5
BMW 3 Series,2999,106708,2008,5,Petrol,Convertible,2.0L,Manual,2,4
Ford Focus,2100,90207,2009,3,Petrol,Hatchback,1.6L,Manual,5,5
Hyundai i20,2499,81585,2009,,Petrol,Hatchback,1.2L,Manual,5,5
Vauxhall Insignia,1990,115000,2009,5,Petrol,Hatchback,1.8L,Manual,5,5
Vauxhall Meriva,4250,91500,2015,3,Diesel,MPV,1.7L,Automatic,5,5
Ford Focus,4300,81426,2014,6,Petrol,Hatchback,1.6L,Automatic,5,5
Volkswagen Polo,5500,76221,2013,3,Petrol,Hatchback,1.2L,Manual,5,5
Ford Focus,2950,105000,2011,,Petrol,Hatchback,1.6L,Manual,5,5
SKODA Fabia,6900,70189,2016,3,Diesel,Hatchback,1.4L,Manual,5,5
Peugeot 308 SW,9600,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5
Vauxhall Corsa,2995,103000,2013,,Petrol,Hatchback,1.2L,Manual,5,5
BMW 3 Series,5500,65000,2011,2,Diesel,Estate,2.0L,Manual,5,5
Volkswagen Golf,2995,109886,2009,3,Petrol,Hatchback,1.4L,Manual,5,5
Peugeot 308,8799,36000,2016,,Petrol,Hatchback,1.2L,Manual,5,5
Nissan Elgrand,4200,96000,2017,3,Petrol,Minibus,2.0L,Automatic,,7
Vauxhall Corsa,2440,113790,2013,2,Petrol,Hatchback,1.2L,Manual,5,5
MINI Hatch,6995,70752,2010,,Petrol,Hatchback,1.6L,Manual,3,4
Nissan Juke,5990,69000,2013,2,Petrol,SUV,1.6L,Manual,5,5
Honda Civic,2495,138000,2008,,Petrol,Hatchback,1.8L,Manual,3,5
Vauxhall Corsa,2395,79987,2011,,Petrol,Hatchback,1.2L,Automatic,3,5
Hyundai i30,1750,130000,2010,4,Petrol,Hatchback,1.4L,Manual,5,5
Peugeot 308 SW,9600,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5
Peugeot 308 SW,9600,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5
SEAT Ibiza,3949,95000,2010,,Petrol,Hatchback,1.4L,Automatic,3,5
Mitsubishi Colt,1795,70000,2007,,Petrol,Hatchback,1.1L,Manual,3,5
SKODA Superb,5999,82000,2011,4,Petrol,Estate,1.8L,Manual,5,5
Audi A4,4995,68157,2010,3,Petrol,Saloon,1.8L,Manual,4,5
Mercedes-Benz A Class,13495,58383,2016,,Diesel,Hatchback,2.1L,Automatic,5,5
Vauxhall Astra,2750,137000,2007,1,Petrol,Hatchback,2.0L,Manual,3,5
Toyota Yaris,5480,52624,2013,1,Petrol,Hatchback,1.3L,Automatic,5,5
Vauxhall Corsa,9820,31584,2018,2,Petrol,Hatchback,1.4L,Automatic,5,5
Mazda Mazda6,3250,128000,2008,,Petrol,Hatchback,2.0L,Automatic,5,5
Ford Focus,2495,90000,2003,2,Petrol,Hatchback,2.0L,Automatic,5,5
Peugeot 207,999,111400,2007,2,Diesel,Hatchback,1.6L,Manual,5,5
MINI Hatch,10000,46923,2017,3,Petrol,Hatchback,1.5L,Manual,3,4
BMW 3 Series,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5
Peugeot 508,7490,96000,2016,,Diesel,Saloon,1.6L,Manual,4,5
Fiat 500,3745,81000,2012,,Petrol,Hatchback,1.2L,Manual,3,4
Vauxhall Corsa,1800,102000,2010,,Petrol,Hatchback,1.4L,Manual,3,5
Vauxhall Corsa,12000,20413,2020,,Petrol,Hatchback,1.2L,Manual,5,5
Volkswagen Golf,3495,82000,2007,,Petrol,Hatchback,1.6L,Manual,5,5
BMW X5,6450,95000,2007,,Diesel,SUV,3.0L,Automatic,5,5
Volkswagen EOS,4000,89600,2006,5,Petrol,Convertible,3.2L,Automatic,2,4
Ford Focus,2200,147601,2005,,Petrol,Hatchback,1.6L,Automatic,5,5
BMW 3 Series,5999,112000,2004,5,Petrol,Coupe,3.0L,Automatic,2,5
Ford Fiesta,3495,85000,2009,5,Petrol,Hatchback,1.4L,Manual,5,5
Volkswagen Polo,3495,127000,2015,,Petrol,Hatchback,1.0L,Manual,3,5
Peugeot 308 SW,9600,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5
KIA Sportage,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5
Ford Fiesta,2395,96651,2011,1,Petrol,Hatchback,1.3L,Manual,3,5
MINI Hatch,5950,105500,2012,1,Petrol,Hatchback,1.6L,Automatic,3,4
Ford Mondeo,2495,42000,2008,,Petrol,Hatchback,2.0L,Manual,5,5
BMW 3 Series,3995,105202,2006,8,Petrol,Coupe,3.0L,Automatic,2,5
Toyota Corolla,2145,57000,2004,5,Petrol,Hatchback,1.6L,Manual,3,5
SKODA Fabia,2500,33000,2005,3,Petrol,Hatchback,1.4L,Automatic,5,5
SKODA Rapid Spaceback,6699,81000,2015,2,Petrol,Hatchback,1.2L,Manual,5,5
Chrysler Ypsilon,2250,100000,2012,4,Petrol,Hatchback,1.2L,Manual,5,5
Audi A5,14299,50000,2015,,Diesel,Coupe,2.0L,Manual,2,4
Land Rover Range Rover Evoque,19698,49068,2019,,Diesel,SUV,2.0L,Manual,5,5
Ford Focus,798,140599,2008,,Petrol,Hatchback,1.6L,Manual,5,5
Peugeot 308,9149,55301,2016,,Diesel,Hatchback,1.6L,Manual,5,5
Peugeot 308 SW,9600,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5
Volkswagen Golf,5300,49400,2010,3,Diesel,Hatchback,2.0L,Manual,5,5
Saab 900,5995,157000,1992,5,Petrol,Convertible,2.0L,Manual,2,
Mercedes-Benz C Class,4495,100000,2008,1,Petrol,Saloon,1.8L,Automatic,4,5
Ford Fiesta,2900,76438,2010,3,Petrol,Hatchback,1.6L,Manual,5,5
Audi A3,4100,64800,2009,3,Petrol,Hatchback,1.6L,Manual,5,5
Citroen C3,2399,70791,2006,,Petrol,Hatchback,1.6L,Automatic,5,5
BMW 7 Series,2600,189000,2008,5,Diesel,Saloon,3.0L,Automatic,4,5
Renault Scenic,2995,36878,2006,2,Petrol,MPV,1.6L,Automatic,5,5
Nissan Juke,6399,68000,2014,2,Diesel,SUV,1.5L,Manual,5,5
Peugeot 308,2999,84066,2011,4,Petrol,Hatchback,1.6L,Manual,5,5
Ford Focus,2950,105000,2011,,Petrol,Hatchback,1.6L,Manual,5,5
Ford Focus,8975,86500,2017,,Diesel,Hatchback,1.5L,Manual,5,5
Ford Focus,8975,86500,2017,,Diesel,Hatchback,1.5L,Manual,5,5
Vauxhall Corsa,3850,74000,2009,3,Petrol,Hatchback,1.4L,Automatic,5,5
Toyota Yaris,3250,62000,2007,,Petrol,Hatchback,1.3L,Manual,5,5
Honda Accord,2497,118000,2005,2,Petrol,Saloon,2.4L,Automatic,4,5
Mazda Mazda3,3499,36000,2006,1,Petrol,Hatchback,1.6L,Manual,5,5
Mitsubishi ASX,4495,124000,2013,3,Petrol,SUV,1.6L,Manual,5,5
Mercedes-Benz A Class,5500,97000,2015,4,Diesel,Hatchback,1.5L,Manual,5,5
Mercedes-Benz CLK,3800,104000,2006,,Petrol,Coupe,1.8L,Automatic,2,4
Toyota Avensis,3785,106250,2008,,Petrol,Saloon,1.8L,Automatic,4,5
BMW 1 Series,10799,63000,2016,2,Petrol,Hatchback,1.5L,Manual,3,5
Nissan Qashqai+2,3999,71000,2011,2,Diesel,SUV,1.5L,Manual,5,7
Peugeot 207,999,111400,2007,2,Diesel,Hatchback,1.6L,Manual,5,5
Ford Focus,8975,86500,2017,,Diesel,Hatchback,1.5L,Manual,5,5
Peugeot 308,9149,55301,2016,,Diesel,Hatchback,1.6L,Manual,5,5
MINI Hatch,2100,132000,2006,7,Petrol,Hatchback,1.6L,Manual,3,4
